t,Xi,Xa
0,0.0010756572885758883,1.602645407545166
1,0.03893240351720806,1.6300622436658185
2,0.07678914974584024,1.6574790797864711
3,0.11464589597447242,1.6848959159071237
4,0.15250264220310458,1.7123127520277763
5,0.19035938843173675,1.739729588148429
6,0.22821613466036894,1.7671464242690815
7,0.2660728808890011,1.7945632603897341
8,0.30392962711763327,1.8219800965103867
9,0.3681819002565492,1.493817023208811
10,0.5754401941787023,1.3376365674205937
11,0.7200351008627706,1.2750726573192477
12,0.8646300075468389,1.2125087472179015
13,1.1640956586057793,1.0744435418823752
14,1.1640956586057793,1.0744435418823752
15,1.1640956586057793,1.0744435418823752
16,1.1640956586057793,1.0744435418823752
17,1.1640956586057793,1.0744435418823752
18,1.1640956586057793,1.0744435418823752
19,1.1640956586057793,1.0744435418823752
